County, FR elig , FR SBP ADP ,% FRP Breakfast Participation
ANDERSON ," 5,418 "," 2,355 ",43.5%
ANDREWS ," 1,796 ", 486 ,27.0%
ANGELINA ," 12,260 "," 4,907 ",40.0%
ARANSAS ," 2,118 ", 885 ,41.8%
ARCHER , 599 , 196 ,32.7%
ARMSTRONG , 147 , 53 ,35.8%
ATASCOSA ," 6,403 "," 3,397 ",53.1%
AUSTIN ," 3,190 "," 1,149 ",36.0%
BAILEY ," 1,269 ", 680 ,53.5%
BANDERA ," 1,442 ", 518 ,35.9%
BASTROP ," 11,474 "," 4,500 ",39.2%
BAYLOR , 341 , 113 ,33.2%
BEE ," 3,898 "," 1,310 ",33.6%
BELL ," 42,230 "," 14,889 ",35.3%
BEXAR ," 239,061 "," 121,459 ",50.8%
BLANCO , 818 , 276 ,33.8%
BORDEN , 91 , 33 ,36.6%
BOSQUE ," 1,945 ", 862 ,44.3%
BOWIE ," 12,139 "," 5,504 ",45.3%
BRAZORIA ," 32,232 "," 11,183 ",34.7%
BRAZOS ," 16,994 "," 7,211 ",42.4%
BREWSTER , 634 , 212 ,33.4%
BRISCOE , 107 , 46 ,42.5%
BROOKS ," 1,409 ", 696 ,49.4%
BROWN ," 4,308 "," 1,802 ",41.8%
BURLESON ," 1,686 ", 643 ,38.2%
BURNET ," 4,515 "," 1,833 ",40.6%
CALDWELL ," 5,281 "," 3,727 ",70.6%
CALHOUN ," 2,789 ", 771 ,27.6%
CALLAHAN ," 1,516 ", 569 ,37.5%
CAMERON ," 98,424 "," 68,021 ",69.1%
CAMP ," 1,910 ", 667 ,34.9%
CARSON , 370 , 134 ,36.3%
CASS ," 2,895 "," 1,195 ",41.3%
CASTRO ," 1,314 ", 971 ,73.9%
CHAMBERS ," 2,068 ", 997 ,48.2%
CHEROKEE ," 6,603 "," 2,823 ",42.8%
CHILDRESS , 684 , 357 ,52.2%
CLAY , 800 , 656 ,82.0%
COCHRAN , 564 , 379 ,67.3%
COKE , 273 , 139 ,51.0%
COLEMAN , 850 , 519 ,61.0%
COLLIN ," 45,144 "," 14,553 ",32.2%
COLLINGSWORTH , 393 , 112 ,28.5%
COLORADO ," 2,400 ", 964 ,40.2%
COMAL ," 10,304 "," 4,040 ",39.2%
COMANCHE ," 1,592 ", 614 ,38.6%
CONCHO , 345 , 139 ,40.4%
COOKE ," 3,878 "," 2,120 ",54.7%
CORYELL ," 6,258 "," 1,950 ",31.2%
COTTLE , 155 , 86 ,55.6%
CRANE , 486 , 84 ,17.3%
CROCKETT , 424 , 190 ,44.8%
CROSBY ," 1,141 ", 948 ,83.1%
CULBERSON , 327 , 268 ,81.9%
DALLAM ," 1,140 ", 573 ,50.2%
DALLAS ," 376,037 "," 169,925 ",45.2%
DAWSON ," 1,945 "," 1,082 ",55.6%
DEAF SMITH ," 3,667 "," 1,678 ",45.8%
DELTA , 754 , 373 ,49.5%
DENTON ," 44,099 "," 15,250 ",34.6%
DEWITT ," 3,071 "," 1,259 ",41.0%
DICKENS , 234 , 137 ,58.7%
DIMMIT ," 1,926 "," 1,106 ",57.5%
DONLEY , 336 , 149 ,44.4%
DUVAL ," 2,173 ", 918 ,42.3%
EASTLAND ," 1,797 ", 671 ,37.3%
ECTOR ," 15,353 "," 8,348 ",54.4%
EDWARDS , 401 , 211 ,52.6%
EL PASO ," 143,494 "," 82,953 ",57.8%
ELLIS ," 17,074 "," 7,358 ",43.1%
ERATH ," 3,002 "," 1,269 ",42.3%
FALLS ," 1,800 ", 857 ,47.6%
FANNIN ," 3,146 "," 1,813 ",57.6%
FAYETTE ," 1,935 ", 673 ,34.8%
FISHER , 323 , 168 ,52.1%
FLOYD , 972 , 372 ,38.3%
FOARD , 151 , 126 ,83.4%
FORT BEND ," 46,910 "," 11,440 ",24.4%
FRANKLIN , 937 , 529 ,56.5%
FREESTONE ," 1,919 ", 767 ,40.0%
FRIO ," 2,770 "," 1,558 ",56.2%
GAINES ," 2,094 ", 891 ,42.6%
GALVESTON ," 33,703 "," 13,539 ",40.2%
GARZA , 763 , 294 ,38.5%
GILLESPIE ," 1,888 ", 602 ,31.9%
GLASSCOCK , 117 , 57 ,48.9%
GOLIAD , 755 , 256 ,33.9%
GONZALES ," 3,174 "," 1,748 ",55.1%
GRAY ," 2,381 "," 1,212 ",50.9%
GRAYSON ," 13,170 "," 5,988 ",45.5%
GREGG ," 14,995 "," 5,926 ",39.5%
GRIMES ," 3,005 "," 1,217 ",40.5%
GUADALUPE ," 11,444 "," 4,544 ",39.7%
HALE ," 5,323 "," 3,209 ",60.3%
HALL , 502 , 350 ,69.7%
HAMILTON , 766 , 374 ,48.8%
HANSFORD , 802 , 213 ,26.6%
